date_time_served,bar_name,alcohol_type,brand_name,opening_balance_(ml),purchase_(ml),consumed_(ml),closing_balance_(ml),date,day_of_week,day,month,net_consumption,brand_name_encoded,bar_name_encoded,alcohol_type_encoded
1/2/2023 21:05,Anderson's Bar,Vodka,Absolut,1309.92,0.0,118.62,1191.3,2023-01-02 21:05:00,Monday,2,1,118.62000000000012,0,0,2
1/5/2023 10:10,Anderson's Bar,Vodka,Absolut,1191.3,0.0,463.2,728.1,2023-01-05 10:10:00,Thursday,5,1,463.19999999999993,0,0,2
1/6/2023 22:13,Anderson's Bar,Vodka,Absolut,728.1,0.0,453.02,275.08,2023-01-06 22:13:00,Friday,6,1,453.02000000000004,0,0,2
1/8/2023 19:18,Anderson's Bar,Vodka,Absolut,275.08,0.0,275.08,1.71e-13,2023-01-08 19:18:00,Sunday,8,1,275.0799999999998,0,0,2
1/11/2023 21:44,Anderson's Bar,Vodka,Absolut,1.71e-13,0.0,0.0,1.71e-13,2023-01-11 21:44:00,Wednesday,11,1,0.0,0,0,2
1/26/2023 15:39,Anderson's Bar,Vodka,Absolut,1.71e-13,0.0,0.0,1.71e-13,2023-01-26 15:39:00,Thursday,26,1,0.0,0,0,2
1/31/2023 20:04,Anderson's Bar,Vodka,Absolut,1.71e-13,0.0,0.0,1.71e-13,2023-01-31 20:04:00,Tuesday,31,1,0.0,0,0,2
2/1/2023 21:39,Anderson's Bar,Vodka,Absolut,1.71e-13,0.0,0.0,1.71e-13,2023-02-01 21:39:00,Wednesday,1,2,0.0,0,0,2
2/4/2023 11:14,Anderson's Bar,Vodka,Absolut,1.71e-13,0.0,0.0,1.71e-13,2023-02-04 11:14:00,Saturday,4,2,0.0,0,0,2
2/5/2023 17:53,Anderson's Bar,Vodka,Absolut,1.71e-13,0.0,0.0,1.71e-13,2023-02-05 17:53:00,Sunday,5,2,0.0,0,0,2
2/22/2023 16:45,Anderson's Bar,Vodka,Absolut,1.71e-13,0.0,0.0,1.71e-13,2023-02-22 16:45:00,Wednesday,22,2,0.0,0,0,2
2/23/2023 10:42,Anderson's Bar,Vodka,Absolut,1.71e-13,1943.13,395.69,1547.44,2023-02-23 10:42:00,Thursday,23,2,395.6900000000003,0,0,2
3/2/2023 21:55,Anderson's Bar,Vodka,Absolut,1547.44,0.0,190.59,1356.85,2023-03-02 21:55:00,Thursday,2,3,190.59000000000015,0,0,2
3/4/2023 15:00,Anderson's Bar,Vodka,Absolut,1356.85,0.0,205.75,1151.1,2023-03-04 15:00:00,Saturday,4,3,205.75,0,0,2
3/7/2023 21:28,Anderson's Bar,Vodka,Absolut,1151.1,0.0,289.73,861.37,2023-03-07 21:28:00,Tuesday,7,3,289.7299999999999,0,0,2
3/24/2023 11:03,Anderson's Bar,Vodka,Absolut,861.0,0.0,141.18,720.0,2023-03-24 11:03:00,Friday,24,3,141.0,0,0,2
3/30/2023 21:10,Anderson's Bar,Vodka,Absolut,720.19,0.0,208.98,511.21,2023-03-30 21:10:00,Thursday,30,3,208.98000000000008,0,0,2
4/4/2023 10:29,Anderson's Bar,Vodka,Absolut,511.21,0.0,304.12,207.09,2023-04-04 10:29:00,Tuesday,4,4,304.12,0,0,2
4/6/2023 13:47,Anderson's Bar,Vodka,Absolut,207.09,0.0,207.09,2.56e-13,2023-04-06 13:47:00,Thursday,6,4,207.08999999999975,0,0,2
4/9/2023 18:44,Anderson's Bar,Vodka,Absolut,2.56e-13,0.0,0.0,2.56e-13,2023-04-09 18:44:00,Sunday,9,4,0.0,0,0,2
4/11/2023 10:25,Anderson's Bar,Vodka,Absolut,2.56e-13,1303.16,255.3,1047.86,2023-04-11 10:25:00,Tuesday,11,4,255.3000000000004,0,0,2
4/12/2023 15:30,Anderson's Bar,Vodka,Absolut,1047.86,0.0,301.09,746.77,2023-04-12 15:30:00,Wednesday,12,4,301.0899999999999,0,0,2
4/25/2023 21:06,Anderson's Bar,Vodka,Absolut,746.77,0.0,137.31,609.46,2023-04-25 21:06:00,Tuesday,25,4,137.30999999999995,0,0,2
4/28/2023 15:38,Anderson's Bar,Vodka,Absolut,609.46,1260.36,348.26,1521.56,2023-04-28 15:38:00,Friday,28,4,348.26,0,0,2
5/7/2023 19:50,Anderson's Bar,Vodka,Absolut,1521.56,0.0,278.64,1242.92,2023-05-07 19:50:00,Sunday,7,5,278.6399999999999,0,0,2
5/25/2023 18:55,Anderson's Bar,Vodka,Absolut,1242.92,0.0,356.44,886.48,2023-05-25 18:55:00,Thursday,25,5,356.44000000000005,0,0,2
5/28/2023 22:11,Anderson's Bar,Vodka,Absolut,886.48,0.0,357.43,529.05,2023-05-28 22:11:00,Sunday,28,5,357.43000000000006,0,0,2
6/1/2023 22:00,Anderson's Bar,Vodka,Absolut,529.05,0.0,213.37,315.68,2023-06-01 22:00:00,Thursday,1,6,213.36999999999995,0,0,2
6/4/2023 15:31,Anderson's Bar,Vodka,Absolut,315.68,0.0,315.68,3.98e-13,2023-06-04 15:31:00,Sunday,4,6,315.6799999999996,0,0,2
6/10/2023 10:49,Anderson's Bar,Vodka,Absolut,3.98e-13,0.0,0.0,3.98e-13,2023-06-10 10:49:00,Saturday,10,6,0.0,0,0,2
6/11/2023 19:31,Anderson's Bar,Vodka,Absolut,3.98e-13,0.0,0.0,3.98e-13,2023-06-11 19:31:00,Sunday,11,6,0.0,0,0,2
6/14/2023 11:47,Anderson's Bar,Vodka,Absolut,3.98e-13,0.0,0.0,3.98e-13,2023-06-14 11:47:00,Wednesday,14,6,0.0,0,0,2
6/20/2023 17:53,Anderson's Bar,Vodka,Absolut,3.98e-13,1680.23,123.25,1556.98,2023-06-20 17:53:00,Tuesday,20,6,123.25000000000045,0,0,2
6/21/2023 15:54,Anderson's Bar,Vodka,Absolut,1556.98,0.0,273.59,1283.39,2023-06-21 15:54:00,Wednesday,21,6,273.5899999999999,0,0,2
6/26/2023 20:44,Anderson's Bar,Vodka,Absolut,1283.39,0.0,301.76,981.63,2023-06-26 20:44:00,Monday,26,6,301.7600000000001,0,0,2
6/28/2023 13:24,Anderson's Bar,Vodka,Absolut,981.63,0.0,348.03,633.6,2023-06-28 13:24:00,Wednesday,28,6,348.03,0,0,2
6/29/2023 15:04,Anderson's Bar,Vodka,Absolut,633.6,0.0,579.09,54.51,2023-06-29 15:04:00,Thursday,29,6,579.09,0,0,2
7/6/2023 20:52,Anderson's Bar,Vodka,Absolut,54.51,0.0,54.51,5.61e-13,2023-07-06 20:52:00,Thursday,6,7,54.50999999999944,0,0,2
7/16/2023 12:22,Anderson's Bar,Vodka,Absolut,5.61e-13,0.0,0.0,5.61e-13,2023-07-16 12:22:00,Sunday,16,7,0.0,0,0,2
7/21/2023 18:50,Anderson's Bar,Vodka,Absolut,5.61e-13,890.15,452.7,437.45,2023-07-21 18:50:00,Friday,21,7,452.70000000000056,0,0,2
7/23/2023 13:23,Anderson's Bar,Vodka,Absolut,437.45,0.0,122.25,315.2,2023-07-23 13:23:00,Sunday,23,7,122.25,0,0,2
7/25/2023 22:23,Anderson's Bar,Vodka,Absolut,315.2,0.0,315.2,5.68e-13,2023-07-25 22:23:00,Tuesday,25,7,315.1999999999994,0,0,2
7/29/2023 13:27,Anderson's Bar,Vodka,Absolut,5.68e-13,0.0,0.0,5.68e-13,2023-07-29 13:27:00,Saturday,29,7,0.0,0,0,2
8/4/2023 13:06,Anderson's Bar,Vodka,Absolut,5.68e-13,0.0,0.0,5.68e-13,2023-08-04 13:06:00,Friday,4,8,0.0,0,0,2
8/13/2023 22:54,Anderson's Bar,Vodka,Absolut,5.68e-13,0.0,0.0,5.68e-13,2023-08-13 22:54:00,Sunday,13,8,0.0,0,0,2
8/15/2023 19:09,Anderson's Bar,Vodka,Absolut,5.68e-13,0.0,0.0,5.68e-13,2023-08-15 19:09:00,Tuesday,15,8,0.0,0,0,2
8/24/2023 16:02,Anderson's Bar,Vodka,Absolut,5.68e-13,0.0,0.0,5.68e-13,2023-08-24 16:02:00,Thursday,24,8,0.0,0,0,2
8/30/2023 13:02,Anderson's Bar,Vodka,Absolut,5.68e-13,0.0,0.0,5.68e-13,2023-08-30 13:02:00,Wednesday,30,8,0.0,0,0,2
9/5/2023 16:58,Anderson's Bar,Vodka,Absolut,5.68e-13,0.0,0.0,5.68e-13,2023-09-05 16:58:00,Tuesday,5,9,0.0,0,0,2
9/10/2023 17:33,Anderson's Bar,Vodka,Absolut,5.68e-13,0.0,0.0,5.68e-13,2023-09-10 17:33:00,Sunday,10,9,0.0,0,0,2
9/11/2023 19:03,Anderson's Bar,Vodka,Absolut,5.68e-13,0.0,0.0,5.68e-13,2023-09-11 19:03:00,Monday,11,9,0.0,0,0,2
